observation_date,gdp+1_mean,gdp+2_mean
1999-11-30,0.7413829775448911,0.7903067047515611
2000-02-29,1.0311940249866263,0.9017303161899597
2000-05-31,0.8025717600550076,0.8380872581387385
2000-08-31,0.7949700786586421,0.7846503484044152
2000-11-30,0.20036878527111363,0.4882545790220862
2001-02-28,0.2878874691744795,0.5119197055506332
2001-05-31,0.35422420161471496,0.6284428222877227
2001-08-31,-0.5011549611255258,0.050959112919873775
2001-11-30,0.33851818455064464,0.6309997662385358
2002-02-28,0.6285729466073752,0.7800683300216662
2002-05-31,0.593865324278123,0.6903746922377966
2002-08-31,0.3811593333493058,0.6319583962678293
2002-11-30,0.5201205909588262,0.6609992489920091
2003-02-28,0.41017371285056836,0.809741649680906
2003-05-31,0.9227507696311101,0.9110212481564792
2003-08-31,0.9793068951377345,0.9913225316890801
2003-11-30,1.0878774544388892,1.052148232050441
2004-02-29,1.087030156770805,1.026830897708872
2004-05-31,0.8476441781361702,0.9633330976807825
2004-08-31,0.9050838892257906,0.8735834958453863
2004-11-30,0.9275894427083854,0.905914950332253
2005-02-14,0.7362450497815014,0.8454231986921267
2005-05-14,1.0216119725928552,0.8522320099961159
2005-08-14,0.7901565236036084,0.8598427828398536
2005-11-14,1.0131252635185142,0.8397436502443114
2006-02-14,0.8093153738589929,0.7583478232252188
2006-05-14,0.6948883581515307,0.6891771311893701
2006-08-14,0.6197646076304584,0.6598618269080314
2006-11-14,0.6304983711097216,0.654435002653953
2007-02-14,0.5981579495869733,0.6176589723763874
2007-05-14,0.6446283605821416,0.6445687344796993
2007-08-14,0.4420894701092708,0.49575170790304174
2007-11-14,0.16496309109904447,0.3180898580017344
2008-02-14,0.01990832200186629,0.5381504681842406
2008-05-14,0.33403502340638047,0.16774121441557968
2008-08-14,-0.6652953366083381,-0.28103252298100745
2008-11-14,-1.2502129420487287,-0.38271202181229036
2009-02-14,-0.32927221326633993,0.13963598841364033
2009-05-14,0.5736193416276336,0.5717860549118232
2009-08-14,0.640905525382798,0.6406356331284414
2009-11-14,0.6514237932345063,0.7141732471622244
2010-02-14,0.8217024904373486,0.7669886189920104
2010-05-14,0.5977678149472264,0.6785254699730631
2010-08-14,0.5517280384896622,0.6096372821589727
2010-11-14,0.8730550526192026,0.857132757565275
2011-02-14,0.7997735988871357,0.8297250126883494
2011-05-14,0.6295610658687705,0.5908019383559927
2011-08-14,0.6196020424021313,0.5791753264233716
2011-11-14,0.5558317965909774,0.5965675179887563
2012-02-14,0.592573912785882,0.6317228625900088
2012-05-14,0.43312878005605066,0.5719305340089376
2012-08-14,0.45670231048309795,0.4080927533443169
2012-11-14,0.5649109963661835,0.5591468801305701
2013-02-14,0.44929418695136214,0.5860187706257313
2013-05-14,0.5812150063194688,0.6373338741175628
2013-08-14,0.457378886587998,0.6274139151549408
2013-11-14,0.5068464945901514,0.6692271333202886
2014-02-14,0.7975907578863125,0.7390427745227388
2014-05-14,0.7317452473147847,0.7542877380134057
2014-08-14,0.6772822830303226,0.6747777315857632
2014-11-14,0.6680509903601551,0.7072733788613245
2015-02-14,0.6219919266718479,0.7595496081224422
2015-05-14,0.700861072868523,0.700766396376172
2015-08-14,0.6700753925168722,0.6349403799496891
2015-11-14,0.5024400479251777,0.5974373468248261
2016-02-14,0.5365130849517777,0.581677305400587
2016-05-14,0.6934057922246633,0.5836489638408165
2016-08-14,0.5435152887550011,0.5490691322674542
2016-11-14,0.5740794296867602,0.5742904725241073
2017-02-14,0.7729420985132585,0.6416784435037667
2017-05-14,0.6720740672657374,0.5927968334526073
2017-08-14,0.6601652979267706,0.5852023210966718
2017-11-14,0.7566715877840557,0.699844438344276
2018-02-14,0.7836504503675488,0.7260020618941603
2018-05-14,0.7495282916918867,0.699436783389675
2018-08-14,0.6471938515920079,0.6011193666730282
2018-11-14,0.39039319442522247,0.6242932086228915
2019-02-14,0.46526334713388645,0.5428374469192363
2019-05-14,0.4544186612216732,0.49343995179801875
2019-08-14,0.4250715255681517,0.46522609198853937
2019-11-14,0.4163129038472292,0.5257320450576178
2020-02-14,-9.110431381115049,2.3738801684276583
2020-05-14,4.508600985945401,1.3483932879258718
2020-08-14,1.1167967308824103,0.841820080031625
2020-11-14,,
